# omega_b	omega_cdm	h	ln10^{10}A_s	n_s	tau_reio	delta_Neff_drmd	f_idm_drmd	log10z_stop
0.0237311	0.1189392	0.7537258	3.046628	0.98806	0.07322045	0.5300691	0.4461877	2.676726
0.02429446	0.1187281	0.7778702	3.077028	1.000748	0.08548971	0.6682923	0.3040712	3.364918
0.02403142	0.1204943	0.7784149	3.069032	0.9981214	0.08231716	0.7249753	0.4367814	2.609293
0.02293051	0.12016	0.7117535	3.0328	0.977318	0.06389206	0.2555509	0.5795587	3.194367
0.023421599	0.1155726	0.7260724	3.064907	0.9875821	0.07739734	0.1973518	0.5295466	3.154131
0.02381438	0.1212275	0.7600626	3.086338	0.9799745	0.08585444	0.5997873	0.6383528	2.639286
0.02386674	0.1198864	0.7729431	3.052817	0.9947324	0.07600351	0.6478487	0.86766	3.246363
0.023406679	0.1245039	0.7463435	3.05079	0.9764571	0.07187916	0.6346986	0.7955169	3.256273
0.0238659	0.1246974	0.7839967	3.04857	0.9918352	0.07651793	0.9228378	0.1936547	2.972401
0.023834988	0.1222494	0.7549879	3.046994	0.9926335	0.08224592	0.6068967	0.4078075	2.549645
0.02317686	0.1203592	0.7379962	3.064855	0.9954624	0.07913004	0.4162549	0.03392524	2.462858
0.02337027	0.1200249	0.7502265	3.050115	0.9930799	0.0757286	0.5141885	0.09957927	2.065155
0.02340157	0.1157976	0.742611	3.034208	0.9935298	0.06648975	0.3002247	0.3335317	2.169224
0.0228443	0.1195893	0.7148682	3.059471	0.9772875	0.07176419	0.2309383	0.5116234	3.292032
0.02324424	0.1229391	0.7430315	3.051835	0.9739738	0.07417076	0.5618672	0.8708951	3.629804
0.02351674	0.1233522	0.76443	3.046461	0.9910356	0.08136835	0.7335267	0.7763889	2.686991
0.02312564	0.1272846	0.7279112	3.059461	0.9726463	0.07759551	0.5761221	0.8514123	2.700054
0.02331497	0.1224697	0.7309722	3.052198	0.9785069	0.07345796	0.4313458	0.4118752	4.451119
0.02339378	0.1228609	0.7451988	3.043628	0.9780761	0.06488103	0.5629639	0.9063629	4.726732
0.02335889	0.1238493	0.7244327	3.085284	0.9748196	0.08458448	0.4576954	0.6886999	2.36586
0.0235723	0.1251876	0.7545114	3.106927	0.9853652	0.098456	0.7171264	0.6431502	3.080813
0.023207769	0.122234	0.7314974	3.0809	0.9886806	0.09474076	0.4808006	0.2937634	2.776016
0.02379031	0.1222109	0.7561854	3.071085	0.9917723	0.08567798	0.6223972	0.1406201	2.025787
0.02383663	0.1222962	0.7518287	3.036012	0.9885876	0.06359797	0.5608468	0.3668979	3.535663
0.02346734	0.129859	0.741266	3.036245	0.9779039	0.05844402	0.7294749	0.1954942	3.315727
0.022871949	0.1272069	0.7257966	3.045766	0.9771599	0.06260176	0.5681679	0.5226444	2.645757
0.022943059	0.11787	0.7211216	3.029222	0.9725588	0.06430432	0.2463694	0.2720295	2.098538
0.02324376	0.1212556	0.7339266	2.999739	0.9802072	0.05769253	0.450466	0.2274457	3.268059
0.023749508	0.1182814	0.7565959	3.048607	0.9920762	0.0831633	0.4857987	0.05287083	2.609428
0.02338432	0.1210424	0.7354802	3.053909	0.9793485	0.07543213	0.4312998	0.4231066	2.074103
0.023405261	0.1191068	0.7420424	3.04069	0.9824973	0.06806901	0.389711	0.54006	4.522748
0.023426859	0.1194791	0.7152965	3.038579	0.9820507	0.06523445	0.1970723	0.589078	4.19327
0.023341328	0.1240956	0.7239008	3.033885	0.9772211	0.06855855	0.4517953	0.7147227	2.642781
0.0233761	0.1229878	0.7259478	3.048932	0.9769847	0.07873715	0.4420386	0.7675861	2.198609
0.022992909	0.1221023	0.7329036	3.07039	0.9858815	0.09838076	0.5099082	0.2421072	4.404174
0.022992909	0.1221023	0.7329036	3.07039	0.9858815	0.09838076	0.5099082	0.2421072	4.404174
0.023228819	0.1214216	0.7451218	3.057847	0.9814297	0.08656236	0.5477251	0.4979271	4.116364
0.023226768	0.1259097	0.7640133	3.050432	0.9813526	0.08279428	0.8530659	0.6455295	3.311293
0.02381927	0.1255118	0.781381	3.085612	0.9958464	0.1046922	0.9683571	0.5893008	3.988006
0.02391277	0.1294482	0.7685906	3.109037	0.9757333	0.1016403	0.9630931	0.5441892	2.850958
0.02319715	0.128667	0.7484475	3.041586	0.9664382	0.06577776	0.8074093	0.2066215	4.938787
0.023130728	0.1192599	0.7227681	3.105621	0.9806968	0.08808478	0.2958077	0.4124971	4.213177
0.022576028	0.1170729	0.6968773	3.085745	0.9683493	0.08225123	0.05343464	0.2748178	3.636322
0.023353579	0.1209099	0.7185387	3.103798	0.976042	0.08884872	0.2816674	0.4490447	3.920409
0.02311258	0.1241272	0.7058416	3.104443	0.9730306	0.08293647	0.2944068	0.5542624	4.84467
0.022467028	0.1243807	0.7141758	3.10546	0.9701737	0.09594995	0.4313742	0.6455188	4.531845
0.02245008	0.1253032	0.7140677	3.119782	0.9709836	0.098063	0.4511795	0.400766	4.335462
0.022195598	0.12259	0.7037497	3.121527	0.9739121	0.1044106	0.3433208	0.6173537	3.933082
0.02275569	0.117905	0.7306042	3.086615	0.9767167	0.093156	0.3509227	0.9362557	4.269846
0.02263096	0.120637	0.7213132	3.058734	0.9774808	0.07825356	0.3764032	0.8725163	4.057766
0.022350859	0.1176941	0.6977838	3.066277	0.9780254	0.08127257	0.1065938	0.7772785	3.897413
